"Check last 100 debug log records","Verifică ultimele 100 înregistrări din logul de debug"
"Check last 100 error log records","Verifică ultimele 100 înregistrări din logul de erori"
"Run Self-test","Rulează Auto-testarea"
"Check for latest versions","Verifică pentru versiuni noi"
"Please select","Vă rugăm să selectați"
"Day(s)","Zi(le)"
"Week(s)","Săptămână(i)"
"Month(s)","Lună(i)"
"Year(s)","An(i)"
"Times","Ori"
"Infinite","Infinit"
"Enabled","Activat"
"Disabled","Dezactivat"
"Log is empty","Logul este gol"
"Unable to cancel subscription: %1","Nu s-a putut anula abonamentul: %1"
"Subscription with ID ""%1"" has been cancelled","Abonamentul cu ID ""%1"" a fost anulat"
"No id provided","Niciun ID furnizat"
"Please check the Mollie logs for more information","Vă rugăm să verificați logurile Mollie pentru mai multe informații"
"Unable to cancel subscription","Nu s-a putut anula abonamentul"
"My Subscriptions","Abonamentele mele"
"We are unable to restart the subscription","Nu am putut reporni abonamentul"
"Unable to change the price for subscription ""%1""","Nu s-a putut schimba prețul pentru abonamentul ""%1"""
"Subscription ""%1"" canceled, deleted database record with ID ""%2""","Abonament ""%1"" anulat, înregistrarea din baza de date cu ID ""%2"" a fost ștearsă"
"Updated subscription ""%1"" to price ""%2""","Abonamentul ""%1"" a fost actualizat la prețul ""%2"""
"Use Config Settings","Utilizează setările de configurare"
"Cron settings can't be saved","Setările Cron nu pot fi salvate"
"Could not save the subscriptionToProduct: %1","Nu s-a putut salva subscriptionToProduct: %1"
"subscription_to_product with id ""%1"" does not exist.","subscription_to_product cu id ""%1"" nu există."
"Subscription for customer %1 and product %2 not found","Abonamentul pentru clientul %1 și produsul %2 nu a fost găsit"
"Could not delete the subscription_to_product: %1","Nu s-a putut șterge subscription_to_product: %1"
"Please select a subscription before adding the product to your cart.","Vă rugăm să selectați un abonament înainte de a adăuga produsul în coș."
"You already have a subscription to this product.","Aveți deja un abonament pentru acest produs."
"Exception while adding the subscription buttons:","Excepție în timpul adăugării butoanelor de abonament:"
"You already have a subscription to ""%1"". This product has been removed from your cart.","Aveți deja un abonament pentru ""%1"". Acest produs a fost eliminat din coșul dumneavoastră."
"Subscription with ID ""%1"" is not active anymore, deleting record with ID ""%2""","Abonamentul cu ID ""%1"" nu mai este activ, se șterge înregistrarea cu ID ""%2"""
